"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"grxMode","string","0",""
"timeSpan","string","0",""
"difficulty","string","0",""
"grxRewardSequenceRef","string","0","If set, give the item rewards for each tier using GRX_GiveSequenceRewardEasy instead of GRX_QueueGiveRewards."
"tags","array_dynamic","0","A list of other item flavors to tag this item flavor with."
"weekNumber","int","0",""
"tiers","array_dynamic","1","Each tier is something to accomplish. When completed the challenge advances to the next tier. The reward is given at the end of all tiers."
"isPremium","bool","0","Requires Premium Battle Pass"
"lastTierIsInfinite","bool","0","Last Tier Repeats Infinitely"
"pinned","bool","0","Pinned in challenge menu"
