"fieldName","dataType","layoutIndex"
"assetName","string","0"
"itemType","string","0"
"devDescription","string","0"
"localizationKey_NAME","string","0"
"localizationKey_NAME_SHORT","string","0"
"localizationKey_DESCRIPTION_LONG","string","0"
"localizationKey_DESCRIPTION_SHORT","string","0"
"quality","string","0"
"icon","asset_noprecache","0"
"grxMode","string","0"
"grxMode","string","0"
"grxRef","string","0"
"ownershipTarget","asset","0"
"unlockFuncKey","string","0"
"fgImageAsset","asset_noprecache","0"
"bgImageAsset","asset_noprecache","0"
"fgRuiAsset","string","0"
"bgRuiAsset","string","0"
"colorCorrectionRawPath","string","0"
"tags","array_dynamic","0"
"fgImageBlend","float","0"
"fgImagePremul","float","0"
"keyCol_0","float3","0"
"keyCol_1","float3","0"
"keyCol_2","float3","0"
"exposure","float","0"
"light0_col","float3","0"
"light0_specintensity","float","0"
"light1_col","float3","0"
"light1_specintensity","float","0"
"light2_col","float3","0"
"light2_specintensity","float","0"
"light3_col","float3","0"
"light3_specintensity","float","0"
"shouldHideIfLocked","bool","0"
"hasOwnRui","bool","0"
"isArtFullFrame","bool","0"
