"fieldName","dataType","layoutIndex"
"assetName","string","0"
"itemType","string","0"
"devDescription","string","0"
"localizationKey_NAME","string","0"
"localizationKey_NAME_SHORT","string","0"
"localizationKey_DESCRIPTION_LONG","string","0"
"localizationKey_DESCRIPTION_SHORT","string","0"
"quality","string","0"
"icon","asset_noprecache","0"
"grxMode","string","0"
"grxMode","string","0"
"grxRef","string","0"
"ownershipTarget","asset","0"
"stillAnimSeq","asset","0"
"lightingRigStillAnimSeq","asset","0"
"movingAnimSeq","asset","0"
"lightingRigMovingAnimSeq","asset","0"
"tags","array_dynamic","0"
"horizontalFOV","float","0"
"light0_brightness","float","0"
"light0_distance","float","0"
"light0_cone","float","0"
"light0_innercone","float","0"
"light0_halfbrightfrac","float","0"
"light1_brightness","float","0"
"light1_distance","float","0"
"light1_cone","float","0"
"light1_innercone","float","0"
"light1_halfbrightfrac","float","0"
"light2_brightness","float","0"
"light2_distance","float","0"
"light2_cone","float","0"
"light2_innercone","float","0"
"light2_halfbrightfrac","float","0"
"light3_brightness","float","0"
"light3_distance","float","0"
"light3_cone","float","0"
"light3_innercone","float","0"
"light3_halfbrightfrac","float","0"
"hasMovingAnim","bool","0"
"light0_pbrfalloff","bool","0"
"light0_castshadows","bool","0"
"light1_pbrfalloff","bool","0"
"light1_castshadows","bool","0"
"light2_pbrfalloff","bool","0"
"light2_castshadows","bool","0"
"light3_pbrfalloff","bool","0"
"light3_castshadows","bool","0"
