"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"grxMode","string","0",""
"entityClassname","string","0",""
"category","asset","0",""
"statsCategory","string","0",""
"tags","array_dynamic","0","A list of other item flavors to tag this item flavor with."
"armoryScale","float","0",""
"lootCeremonyScale","float","0",""
"battlePassScale","float","0",""
"skins","array_dynamic","1","A list of weapon skin item flavors that are valid for this weapon."
"charms","array_dynamic","2","A list of weapon charm item flavors that are valid for this weapon."
"shippingWeapon","bool","0","The item is considered shipped and will be accessible whenever possible"
