"fieldName","dataType","layoutIndex"
"assetName","string","0"
"itemType","string","0"
"devDescription","string","0"
"localizationKey_NAME","string","0"
"localizationKey_NAME_SHORT","string","0"
"localizationKey_DESCRIPTION_LONG","string","0"
"localizationKey_DESCRIPTION_SHORT","string","0"
"quality","string","0"
"icon","asset_noprecache","0"
"grxMode","string","0"
"grxMode","string","0"
"grxRef","string","0"
"ownershipTarget","asset","0"
"DropSequenceLaunch1P","string","0"
"DropSequenceLaunch3P","string","0"
"DropSequenceTravel1P","string","0"
"DropSequenceTravel3P","string","0"
"DropSequenceLandStart1P","string","0"
"DropSequenceLandStart3P","string","0"
"DropSequenceLandStop1P","string","0"
"DropSequenceLandStop3P","string","0"
"InGameFlightLaunch1P","string","0"
"InGameFlightLaunch3P","string","0"
"InGameFlightTravel1P","string","0"
"InGameFlightTravel3P","string","0"
"InGameFlightLandStart1P","string","0"
"InGameFlightLandStart3P","string","0"
"InGameFlightLandStop1P","string","0"
"InGameFlightLandStop3P","string","0"
"DropSequenceCameraTransition1P","string","0"
"video","string","0"
"tags","array_dynamic","0"
"smokeColorFXPackage","array_dynamic","1"
"friendlyJumpJetFXPackage","array_dynamic","2"
"enemyJumpJetFXPackage","array_dynamic","3"
"jumpJetLandFXPackage","array_dynamic","4"
