"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"grxMode","string","0",""
"statsKey","string","0",""
"tags","array_dynamic","0","A list of other item flavors to tag this item flavor with."
"menuZoomOffset","float3","0","This vector is an offset from the Menu_Rotate attachment for the camera zoom focal point."
