"fieldName","dataType","layoutIndex","helpText"
"killSoundEvent1p","string","0",""
"killSoundEvent3p","string","0",""
"persistentSoundEvent1p","string","0",""
"persistentSoundEvent3p","string","0",""
"killCount","int","0",""
"emissiveIntensity","float","0","[OPTIONAL] Sets the value for kv.intensity on the weapon model."
"killFXList","array_dynamic","0",""
"persistentFXList","array_dynamic","1",""
"bodygroupChangeList","array_dynamic","2",""
"weaponModListAdd","array_dynamic","3",""
"weaponModListRemove","array_dynamic","4",""
