"fieldName","dataType","layoutIndex"
"gibModels","array","0"
"gibModelsSoftened","array","1"
"gibAttachments","array","2"
"poseSettings","array","3"
"assetName","string","0"
"printName","string","0"
"shortPrintName","string","0"
"description","string","0"
"subclass","string","0"
"voice","string","0"
"painDeathSoundType","string","0"
"bodyModel","asset","0"
"bodyModelRigWeight","string","0"
"armsModel","asset","0"
"cockpitModel","asset","0"
"weaponClass","string","0"
"aiSettingsFile","string","0"
"sp_aiSettingsFile","string","0"
"at_aiSettingsFile","string","0"
"hatchModel","asset","0"
"titanCharacterName","string","0"
"readymessage","string","0"
"readyhint","string","0"
"raceOrSex","string","0"
"unitframe_icon","asset_noprecache","0"
"hud_follow_icon","string","0"
"hud_guard_icon","string","0"
"core_building_icon","string","0"
"core_ready_icon","string","0"
"autoprecache_script","string","0"
"execution_anim","string","0"
"startup_sound","string","0"
"fx_jetwash_impactTable","string","0"
"fx_hover_friendly","string","0"
"fx_hover_enemy","string","0"
"sharedEnergyNotUsableSound","string","0"
"sharedEnergyRegenSound","string","0"
"classActivityModifier","string","0"
"footstep_type","string","0"
"rumbleOnJump","string","0"
"rumbleOnDoubleJump","string","0"
"rumbleOnWallrunStart","string","0"
"rumbleOnWallrunTimeout","string","0"
"rumbleOnWallHangStart","string","0"
"rumbleOnLandingSoft","string","0"
"rumbleOnLandingHard","string","0"
"rumbleOnSlideBegin","string","0"
"rumbleOnZiplineAttach","string","0"
"rumbleOnZiplineDetach","string","0"
"rumbleOnDodge","string","0"
"landingImpactTable","string","0"
"footstepImpactTable","string","0"
"dodgeImpactTable","string","0"
"slideEffectTable","string","0"
"aimassist_adspull_centerAttachmentName","string","0"
"aimassist_adspull_headshotAttachmentName","string","0"
"gibFX","string","0"
"gibSound","string","0"
"sound_superJump","string","0"
"sound_superJumpFail","string","0"
"sound_dodge_1p","string","0"
"sound_dodge_3p","string","0"
"sound_dodgeFail","string","0"
"sound_groundImpact","string","0"
"sound_wallrunImpact_1p","string","0"
"sound_wallrunImpact_3p","string","0"
"sound_wallHangStart","string","0"
"sound_wallHangComplete_1p","string","0"
"sound_wallHangComplete_3p","string","0"
"sound_wallrunSlip","string","0"
"sound_wallHangSlip","string","0"
"sound_wallrunFall_1p","string","0"
"sound_wallrunFall_3p","string","0"
"sound_wallHangFall","string","0"
"sound_standToCrouch_1p","string","0"
"sound_standToCrouch_3p","string","0"
"sound_crouchToStand_1p","string","0"
"sound_crouchToStand_3p","string","0"
"sound_freefall_start_1p","string","0"
"sound_freefall_start_3p","string","0"
"sound_freefall_body_1p","string","0"
"sound_freefall_body_3p","string","0"
"sound_freefall_finish_1p","string","0"
"sound_freefall_finish_3p","string","0"
"sound_jumpjet_jump_start_1p","string","0"
"sound_jumpjet_jump_start_3p","string","0"
"sound_jumpjet_jump_body_1p","string","0"
"sound_jumpjet_jump_body_3p","string","0"
"sound_jumpjet_jump_finish_1p","string","0"
"sound_jumpjet_jump_finish_3p","string","0"
"sound_jumpjet_jet_start_1p","string","0"
"sound_jumpjet_jet_start_3p","string","0"
"sound_jumpjet_jet_body_1p","string","0"
"sound_jumpjet_jet_body_3p","string","0"
"sound_jumpjet_jet_finish_1p","string","0"
"sound_jumpjet_jet_finish_3p","string","0"
"sound_jumpjet_wallrun_start_1p","string","0"
"sound_jumpjet_wallrun_start_3p","string","0"
"sound_jumpjet_wallrun_body_1p","string","0"
"sound_jumpjet_wallrun_body_3p","string","0"
"sound_jumpjet_wallrun_finish_1p","string","0"
"sound_jumpjet_wallrun_finish_3p","string","0"
"sound_jumpjet_slide_start_1p","string","0"
"sound_jumpjet_slide_start_3p","string","0"
"sound_boost_short_1p","string","0"
"sound_boost_short_3p","string","0"
"sound_boost_start_1p","string","0"
"sound_boost_start_3p","string","0"
"sound_boost_body_1p","string","0"
"sound_boost_body_3p","string","0"
"sound_boost_finish_1p","string","0"
"sound_boost_finish_3p","string","0"
"sound_glide_start_1p","string","0"
"sound_glide_start_3p","string","0"
"sound_glide_body_1p","string","0"
"sound_glide_body_3p","string","0"
"sound_glide_finish_1p","string","0"
"sound_glide_finish_3p","string","0"
"sound_jetpack_start_1p","string","0"
"sound_jetpack_start_3p","string","0"
"sound_jetpack_body_1p","string","0"
"sound_jetpack_body_3p","string","0"
"sound_jetpack_finish_1p","string","0"
"sound_jetpack_finish_3p","string","0"
"sound_jetpack_afterburner_start_1p","string","0"
"sound_jetpack_afterburner_start_3p","string","0"
"sound_jetpack_afterburner_body_1p","string","0"
"sound_jetpack_afterburner_body_3p","string","0"
"sound_jetpack_afterburner_finish_1p","string","0"
"sound_jetpack_afterburner_finish_3p","string","0"
"sound_hover_start_1p","string","0"
"sound_hover_start_3p","string","0"
"sound_hover_body_1p","string","0"
"sound_hover_body_3p","string","0"
"sound_hover_finish_1p","string","0"
"sound_hover_finish_3p","string","0"
"sound_climb_start_1p","string","0"
"sound_climb_start_3p","string","0"
"sound_climb_body_1p","string","0"
"sound_climb_body_3p","string","0"
"sound_climb_finish_1p","string","0"
"sound_climb_finish_3p","string","0"
"sound_jetwash_start_1p","string","0"
"sound_jetwash_start_3p","string","0"
"sound_jetwash_body_1p","string","0"
"sound_jetwash_body_3p","string","0"
"sound_jetwash_finish_1p","string","0"
"sound_jetwash_finish_3p","string","0"
"sound_boost_meter_depleted_1p","string","0"
"sound_boost_meter_depleted_3p","string","0"
"sound_boost_meter_recharged_1p","string","0"
"sound_boost_meter_recharged_3p","string","0"
"sound_boost_meter_fail_1p","string","0"
"sound_boost_meter_fail_3p","string","0"
"sound_pain_layer1_start","string","0"
"sound_pain_layer1_loop","string","0"
"sound_pain_layer1_end","string","0"
"sound_pain_layer2_start","string","0"
"sound_pain_layer2_loop","string","0"
"sound_pain_layer2_end","string","0"
"sound_pain_layer3_start","string","0"
"sound_pain_layer3_loop","string","0"
"sound_pain_layer3_end","string","0"
"sound_grapple_fire_1p","string","0"
"sound_grapple_fire_3p","string","0"
"sound_grapple_retract_1p","string","0"
"sound_grapple_retract_3p","string","0"
"sound_grapple_traverse_1p","string","0"
"sound_grapple_traverse_3p","string","0"
"sound_grapple_swing_1p","string","0"
"sound_grapple_swing_3p","string","0"
"sound_grapple_reel_in_target_1p","string","0"
"sound_grapple_reel_in_target_3p","string","0"
"sound_grapple_reset_1p","string","0"
"sound_grapple_reset_3p","string","0"
"player_sound_fallingEffects_1p","string","0"
"sound_slide_prefix","string","0"
"ui_targetinfo","string","0"
"camera_lcd","asset","0"
"camera_lcdStartup","asset","0"
"headshotFX","string","0"
"viewPunchSpring","string","0"
"generalClass","int","0"
"fov","float","0"
"viewmodelfov","float","0"
"viewmodelDuckOffset","float","0"
"speedScaleSide","float","0"
"speedScaleBack","float","0"
"stepHeight","float","0"
"stepTestDist","float","0"
"physicsMass","float","0"
"physicsIgnoreBelowMass","float","0"
"physicsSoftBelowMass","float","0"
"physicsPushMassLimit","float","0"
"physicsPushSpeedLimit","float","0"
"airSpeed","float","0"
"airAcceleration","float","0"
"airFriction","float","0"
"airDrag","float","0"
"impactSpeed","float","0"
"modelScale","float","0"
"health","float","0"
"healthShield","float","0"
"healthDoomed","float","0"
"healthPerSegment","float","0"
"powerRegenRate","float","0"
"armorType","int","0"
"smartAmmoLockType","int","0"
"smartAmmoLockTimeModifier","float","0"
"pitchMaxUp","float","0"
"pitchMaxDown","float","0"
"verticalGainCutoff_wallrun","float","0"
"verticalGainCutoff_doubleJump","float","0"
"slipAcceleration","float","0"
"slipSpeed","float","0"
"slipAirRestrictDuration","float","0"
"localGravityBlendTime","float","0"
"localGravityBlendDistanceMin","float","0"
"localGravityBlendDistanceMax","float","0"
"titan_regen_delay","float","0"
"pushbackScale","float","0"
"jumpHeight","float","0"
"antiMultiJumpHeightFrac","float","0"
"antiMultiJumpTimeMin","float","0"
"antiMultiJumpTimeMax","float","0"
"superjumpLimit","float","0"
"superjumpMinHeight","float","0"
"superjumpMaxHeight","float","0"
"superjumpHorzSpeed","float","0"
"landSlowdownFrac","float","0"
"landSlowdownDuration","float","0"
"landSlowdownTimePower","float","0"
"landSlowdownHeightMin","float","0"
"landSlowdownHeightMax","float","0"
"landSlowdownNoSprintFrac","float","0"
"mantleHeight","float","0"
"mantleAngleScale","float","0"
"mantleDurationBelow","float","0"
"mantleDurationLevel","float","0"
"mantleDurationAbove","float","0"
"mantleDurationHigh","float","0"
"viewkickFallDistMin","float","0"
"viewkickFallDistMax","float","0"
"viewkickFallDistMaxScale","float","0"
"glideDuration","float","0"
"glideRechargeRate","float","0"
"glideRechargeDelay","float","0"
"boostThrust","float","0"
"boostTightness","float","0"
"boostDelay","float","0"
"boostDuration","float","0"
"boostRodeoSafety","float","0"
"boostOnGroundSafety","float","0"
"boostHorizontalDragSpeed","float","0"
"boostHorizontalDragDelay","float","0"
"boostHorizontalDragAmount","float","0"
"boostAutoGlideMeterThreshold","float","0"
"boostAutoJetpackMeterThreshold","float","0"
"boostRepeatedBoostMeterCost","float","0"
"jetpackThrust","float","0"
"jetpackAfterburnerThrust","float","0"
"jetpackHorizontalMoveThrust","float","0"
"jetpackJumpsToActivate","int","0"
"jetpackHeightToActivate","float","0"
"jetpackHeightToActivateDelay","float","0"
"jetpackMeterRate","float","0"
"jetpackAfterburnerMeterRate","float","0"
"jetpackTightnessUp","float","0"
"jetpackTightnessDown","float","0"
"jetpackTightnessSideways","float","0"
"jetpackTightnessForwardBack","float","0"
"jetpackStrafe","float","0"
"jetpackStrafeTaperStart","float","0"
"jetpackStrafeTaperFinish","float","0"
"jetpackBlendToGlideThreshold","float","0"
"glideThrust","float","0"
"glideThreshold","float","0"
"glideTightnessUp","float","0"
"glideTightnessDown","float","0"
"glideTightnessSideways","float","0"
"glideRedirectDown","float","0"
"glideRedirectSideways","float","0"
"glideStrafe","float","0"
"glideStrafeTaperStart","float","0"
"glideStrafeTaperFinish","float","0"
"glideRedirectJumpHeightStartOffset","float","0"
"glideRedirectJumpHeightFinishOffset","float","0"
"glideRedirectFadeOutStartSpeed","float","0"
"glideRedirectFadeOutFinishSpeed","float","0"
"airStrafeAcceleration","float","0"
"airStrafeTaperStart","float","0"
"airStrafeTaperFinish","float","0"
"hoverTightnessVertical","float","0"
"hoverTightnessHorizontal","float","0"
"hoverMeterRate","float","0"
"hoverStrafeScale","float","0"
"hoverSafety","float","0"
"fx_jetwash_frequency","float","0"
"fx_jetwash_height","float","0"
"climbHeight","float","0"
"climbFinalJumpUpHeight","float","0"
"climbSpeedStart","float","0"
"climbSpeedEnd","float","0"
"climbAccel","float","0"
"climbDecel","float","0"
"climbHorzSpeed","float","0"
"climbHorzAccel","float","0"
"climbHorzDecel","float","0"
"wallrun_timeLimit","float","0"
"wallrun_hangTimeLimit","float","0"
"wallrunAdsType","int","0"
"wallrunCeilingLimit","float","0"
"wallrunAllowedWallDistance","float","0"
"wallrunAllowedWallDistanceWallHang","float","0"
"wallrunUpWallBoost","float","0"
"wallrunMaxSpeedVertical","float","0"
"wallrunMaxSpeedHorizontal","float","0"
"wallrunMaxSpeedHorizontalBackward","float","0"
"wallrunAccelerateVertical","float","0"
"wallrunDecelerateVertical","float","0"
"wallrunAccelerateHorizontal","float","0"
"wallrunDecelerateHorizontal","float","0"
"wallrunGravityRampUpTime","float","0"
"wallrunJumpUpSpeed","float","0"
"wallrunJumpInputDirSpeed","float","0"
"wallrunJumpOutwardSpeed","float","0"
"wallrunSameWallHeight","float","0"
"wallrun_viewpunch_onStart_basePitch","float","0"
"wallrun_viewpunch_onStart_randomPitch","float","0"
"wallrun_viewpunch_onStart_baseYaw","float","0"
"wallrun_viewpunch_onStart_randomYaw","float","0"
"wallrun_viewpunch_onStart_baseRoll","float","0"
"wallrun_viewpunch_onStart_randomRoll","float","0"
"wallrun_viewpunch_onTimeout_basePitch","float","0"
"wallrun_viewpunch_onTimeout_randomPitch","float","0"
"wallrun_viewpunch_onTimeout_baseYaw","float","0"
"wallrun_viewpunch_onTimeout_randomYaw","float","0"
"wallrun_viewpunch_onTimeout_baseRoll","float","0"
"wallrun_viewpunch_onTimeout_randomRoll","float","0"
"dodgeDuration","float","0"
"dodgeSpeed","float","0"
"dodgePowerDrain","float","0"
"dodgeAnimDuration","float","0"
"dodgeInterval","float","0"
"dodgeStopSpeed","float","0"
"dodgeHeight","float","0"
"dodgeHeightMax","float","0"
"dodgeVerticalHeight","float","0"
"dodgePowerDelay","float","0"
"dodgeKeepSpeedFrac","float","0"
"player_slideBoostCooldown","float","0"
"slideDecel","float","0"
"slideWantToStopDecel","float","0"
"slideVelocityDecay","float","0"
"slideAccel","float","0"
"slideRequiredStartSpeed","float","0"
"slideRequiredStartSpeedAir","float","0"
"slideStopSpeed","float","0"
"slideMaxStopSpeed","float","0"
"slideMaxJumpSpeed","float","0"
"slideSpeedBoost","float","0"
"slideSpeedBoostCap","float","0"
"slideJumpHeight","float","0"
"slideFOVScale","float","0"
"slideFOVLerpInTime","float","0"
"slideFOVLerpOutTime","float","0"
"grapple_detachOnGrappleDebounceTime","float","0"
"grapple_autoAimAngle","float","0"
"grapple_swingType","int","0"
"grapple_swingGravity","float","0"
"grapple_swingHoldTime","float","0"
"grapple_swingMinLength","float","0"
"grapple_swingAccel","float","0"
"grapple_swingMaxSpeed","float","0"
"grapple_rollStrength","float","0"
"grapple_rollMax","float","0"
