"fieldName","dataType","layoutIndex"
"hull_min","float3","0"
"hull_max","float3","0"
"viewheight","float3","0"
"firstpersonproxyoffset","float3","0"
"footstepInterval","int","0"
"footstepIntervalSprint","int","0"
"footstepWalkSoundRadius","int","0"
"footstepRunSoundRadius","int","0"
"footstepMinSpeed","float","0"
"lowSpeed","float","0"
"speed","float","0"
"sprintspeed","float","0"
"acceleration","float","0"
"deceleration","float","0"
"lowAcceleration","float","0"
"sprintAcceleration","float","0"
"sprintDeceleration","float","0"
"operatorHoverHeight","float","0"
